,X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,fire
316,2,2,aug,thu,92.4,96.2,753.8,8.6,20.4,24,5.8,0.0,0
317,8,6,aug,thu,92.4,96.2,753.8,8.6,20.4,24,4.9,0.0,0
318,2,4,aug,mon,92.8,119.0,672.6,7.5,27.9,27,2.2,0.0,1
319,1,3,aug,thu,92.8,119.0,698.6,7.5,26.2,28,6.3,0.0,0
320,3,4,aug,sun,92.8,119.0,613.0,7.5,24.6,34,7.2,0.0,1
321,7,4,sep,thu,92.8,119.0,849.3,7.5,19.4,28,4.0,0.0,0
322,1,3,aug,sat,92.8,119.0,605.3,7.5,23.3,28,4.0,0.0,1
323,8,6,aug,thu,90.7,136.9,698.6,6.8,23.9,39,2.7,0.0,0
324,2,4,aug,sun,88.1,53.3,723.1,5.4,20.9,56,1.8,0.0,1
325,1,4,aug,fri,92.2,102.3,811.2,8.4,22.2,27,3.1,0.0,0
326,2,5,jul,sat,92.2,102.3,376.6,8.4,23.8,27,3.1,0.0,0
327,8,6,aug,mon,92.2,102.3,672.6,8.4,26.8,32,2.2,0.0,1
328,8,6,aug,sat,92.2,102.3,768.4,8.4,14.2,35,1.8,0.0,0
329,2,5,aug,sat,92.2,102.3,715.1,8.4,23.6,27,4.0,0.0,1
330,1,3,sep,fri,92.2,102.3,738.1,8.4,19.1,27,3.1,0.0,1
331,5,4,sep,fri,91.2,124.4,855.3,8.5,16.2,28,4.5,0.0,0
332,8,6,aug,mon,91.2,124.4,672.6,8.5,25.5,41,2.2,0.0,1
333,6,5,apr,mon,92.1,87.7,41.6,9.5,10.9,54,3.1,0.0,1
334,1,2,jul,fri,91.6,108.4,368.3,6.2,14.8,51,5.4,0.0,0
335,2,5,sep,fri,91.6,108.4,855.3,6.2,16.2,42,1.8,0.0,1
336,5,5,aug,sun,91.6,108.4,100.7,6.2,17.3,44,2.2,0.0,0
337,6,5,aug,sun,91.6,108.4,664.5,6.2,19.1,34,2.2,0.0,0
338,3,4,mar,wed,91.6,108.4,28.3,6.2,8.9,35,2.2,0.0,0
339,7,4,sep,wed,91.6,108.4,844.0,6.2,10.5,41,1.8,0.0,0
340,7,4,aug,sun,91.6,108.4,613.0,6.2,19.3,44,2.2,0.0,0
341,4,5,aug,wed,91.9,111.7,690.0,6.5,23.4,51,2.2,0.0,1
342,1,4,aug,fri,91.5,130.1,649.9,7.5,11.8,37,1.8,0.0,1
343,7,4,aug,mon,91.5,130.1,730.6,7.5,17.7,51,4.5,0.0,0
344,4,5,aug,thu,91.5,130.1,803.3,7.5,17.4,66,4.9,0.0,0
345,3,4,aug,thu,91.5,130.1,753.8,7.5,16.8,43,3.1,0.0,0
346,3,4,jul,mon,91.5,130.1,567.2,7.5,17.9,35,2.2,0.0,0
347,2,4,aug,thu,92.1,99.0,753.8,9.6,16.6,75,3.6,0.0,0
348,1,4,aug,wed,92.1,99.0,635.9,9.6,19.9,57,4.5,0.0,1
349,8,6,aug,sat,92.1,99.0,715.1,9.6,18.9,64,3.6,0.0,1
350,7,4,aug,sat,92.1,99.0,819.1,9.6,15.5,75,3.6,0.0,1
351,2,5,aug,sat,92.1,99.0,715.1,9.6,18.9,53,6.3,0.0,0
352,8,6,aug,sat,92.1,99.0,715.1,9.6,18.9,43,3.6,0.0,0
353,1,4,sep,sun,92.1,99.0,825.1,9.6,14.5,47,2.7,0.0,1
354,6,5,feb,tue,92.1,99.0,16.2,9.6,4.6,50,2.2,0.0,1
355,6,4,feb,tue,92.1,99.0,16.2,9.6,5.1,35,4.9,0.0,1
356,2,2,feb,sat,92.1,99.0,15.3,9.6,4.6,35,4.9,0.0,1
357,6,5,mar,mon,92.5,122.0,36.9,10.2,10.2,55,3.6,0.0,1
358,3,4,mar,wed,92.5,122.0,41.1,10.2,11.2,39,2.7,0.0,1
359,6,5,mar,thu,92.5,122.0,43.5,10.2,13.3,39,2.2,0.0,1
360,6,3,apr,sun,92.5,122.0,25.6,10.2,13.7,42,2.2,0.0,1
361,5,4,apr,sun,92.5,122.0,25.6,10.2,17.6,45,4.0,0.0,0
362,4,3,may,fri,88.2,55.2,73.7,11.6,18.0,64,3.1,0.0,1
363,8,3,jun,mon,91.9,111.7,229.0,6.5,14.3,53,2.2,0.0,1
364,9,4,jun,sat,91.9,111.7,252.6,6.5,24.5,35,2.7,0.0,1
365,4,3,jun,thu,91.9,111.7,316.7,6.5,26.4,45,3.1,0.0,1
366,2,5,jun,thu,91.1,132.3,350.2,12.5,22.7,38,5.4,0.0,1
367,4,3,jul,thu,91.1,132.3,395.0,12.5,27.2,27,3.6,0.0,1
368,4,3,jul,sun,91.2,94.3,423.4,8.4,26.1,47,4.9,0.0,1
369,7,4,jul,sun,91.0,108.3,423.4,7.1,18.2,77,7.6,0.0,1
370,7,4,jul,mon,91.0,108.3,431.6,7.1,22.6,77,7.6,0.0,1
371,9,9,jul,thu,91.9,133.6,560.0,8.0,30.2,58,4.0,0.0,1
372,4,3,jul,thu,92.0,203.2,560.0,8.1,30.2,75,0.9,0.0,0
373,3,4,aug,sun,94.8,222.4,587.1,13.9,23.4,42,2.7,0.0,1
374,8,6,aug,sun,90.3,108.3,587.1,7.4,31.0,78,4.0,0.0,0
375,2,5,aug,sun,91.2,94.3,587.1,8.4,33.1,57,4.9,0.0,1
376,2,4,aug,mon,92.1,207.0,596.3,8.2,30.6,54,2.2,0.0,1
377,5,4,aug,tue,93.7,231.1,605.8,8.4,24.1,42,2.2,0.0,1
378,5,4,aug,tue,90.9,18.9,605.8,8.0,26.4,51,5.8,0.0,1
379,4,4,aug,tue,91.6,1.1,605.8,8.4,19.4,42,0.9,0.0,1
380,4,4,aug,wed,93.7,101.3,605.8,11.9,20.6,39,7.2,0.0,0
381,4,4,aug,wed,90.7,194.1,605.8,6.8,28.7,63,2.7,0.0,0
382,4,4,aug,thu,95.2,217.7,624.1,8.4,32.4,29,1.8,0.0,0
383,1,3,aug,fri,91.6,248.4,633.6,6.3,32.4,58,2.7,0.0,0
384,1,3,aug,fri,91.6,108.3,633.6,7.7,27.5,44,4.5,0.0,1
385,6,6,aug,sat,91.6,181.3,643.0,7.6,30.8,50,2.2,0.0,1
386,6,6,aug,mon,90.5,96.7,661.8,11.4,23.9,55,5.4,0.0,0
387,4,5,aug,mon,90.9,18.9,661.8,8.0,32.6,48,5.4,0.0,1
388,3,4,aug,tue,94.8,227.0,671.2,12.0,32.3,34,3.1,0.0,1
389,6,5,aug,tue,94.8,227.0,671.2,12.0,33.3,34,3.1,0.0,1
390,7,5,aug,tue,91.6,9.5,671.2,4.1,27.3,71,6.3,6.4,1
391,8,6,aug,tue,91.1,91.3,671.2,7.2,21.6,46,2.7,0.8,0
392,7,5,aug,tue,91.0,108.3,671.2,7.1,21.6,43,4.0,0.8,0
393,4,4,aug,tue,93.4,15.0,671.2,11.4,20.7,19,7.6,0.4,0
394,2,4,aug,wed,91.6,4.6,689.1,2.2,29.2,68,1.8,0.0,1
395,4,3,aug,wed,91.6,9.0,689.1,3.5,28.9,62,1.8,0.0,1
396,1,2,aug,thu,90.5,96.7,744.4,11.4,26.7,55,4.9,0.0,1
397,1,2,aug,fri,91.6,181.3,752.6,7.6,18.5,33,3.6,0.0,0
398,2,4,aug,fri,93.7,231.1,752.6,8.4,25.9,32,3.1,0.0,0
399,1,2,aug,fri,93.3,49.5,752.6,14.0,25.9,34,4.5,0.0,0
400,5,4,aug,fri,93.3,49.5,752.6,14.0,21.1,34,4.5,1.4,1
401,6,5,aug,fri,91.1,88.2,752.6,8.3,18.2,46,4.0,0.0,1
402,8,6,aug,sun,94.8,227.0,665.6,12.0,27.8,36,4.0,0.0,0
403,4,3,aug,sun,90.7,194.1,665.6,6.8,27.8,41,3.6,0.0,1
404,2,4,aug,sun,87.9,84.8,665.6,3.7,21.9,34,2.2,0.0,1
405,7,4,aug,sun,94.6,212.1,665.6,9.5,21.2,27,2.2,0.0,1
406,1,4,aug,sat,87.1,108.3,614.7,4.0,25.6,67,4.9,0.0,0
407,6,3,nov,tue,91.6,8.2,106.7,2.9,11.8,46,4.0,0.0,0
